order_item_id,order_id,product_id,quantity,price,cost_price,created_at,updated_at
ITM-1066,ORD-1029,PROD-105,5,15.47,10.83,2024-12-24 00:00:00,2024-12-24 00:00:00
ITM-1067,ORD-1030,PROD-103,5,65.28,45.7,2024-12-19 00:00:00,2024-12-19 00:00:00
ITM-1068,ORD-1030,PROD-102,6,61.09,42.76,2024-12-19 00:00:00,2024-12-19 00:00:00
ITM-1069,ORD-1030,PROD-109,5,30.55,21.38,2024-12-19 00:00:00,2024-12-19 00:00:00
ITM-1070,ORD-1031,PROD-106,9,49.09,34.36,2024-12-10 00:00:00,2024-12-10 00:00:00
ITM-1071,ORD-1032,PROD-106,3,49.09,34.36,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1072,ORD-1032,PROD-101,8,31.91,22.34,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1073,ORD-1033,PROD-103,4,65.28,45.7,2024-12-21 00:00:00,2024-12-21 00:00:00
ITM-1074,ORD-1033,PROD-110,3,56.62,39.63,2024-12-21 00:00:00,2024-12-21 00:00:00
ITM-1075,ORD-1034,PROD-102,1,61.09,42.76,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1076,ORD-1034,PROD-104,6,29.52,20.66,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1077,ORD-1034,PROD-107,10,34.78,24.35,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1078,ORD-1035,PROD-105,6,15.47,10.83,2024-12-23 00:00:00,2024-12-23 00:00:00
ITM-1079,ORD-1036,PROD-108,8,62.83,43.98,2024-12-18 00:00:00,2024-12-18 00:00:00
ITM-1080,ORD-1037,PROD-103,1,65.28,45.7,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1081,ORD-1037,PROD-110,8,56.62,39.63,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1082,ORD-1037,PROD-109,9,30.55,21.38,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1083,ORD-1038,PROD-110,10,56.62,39.63,2024-12-23 00:00:00,2024-12-23 00:00:00
ITM-1084,ORD-1039,PROD-108,5,62.83,43.98,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1085,ORD-1040,PROD-106,4,49.09,34.36,2024-12-02 00:00:00,2024-12-02 00:00:00
ITM-1086,ORD-1040,PROD-109,5,30.55,21.38,2024-12-02 00:00:00,2024-12-02 00:00:00
ITM-1087,ORD-1041,PROD-104,3,29.52,20.66,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1088,ORD-1042,PROD-109,4,30.55,21.38,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1089,ORD-1042,PROD-110,5,56.62,39.63,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1090,ORD-1042,PROD-107,8,34.78,24.35,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1091,ORD-1043,PROD-103,5,65.28,45.7,2024-12-26 00:00:00,2024-12-26 00:00:00
ITM-1092,ORD-1043,PROD-102,10,61.09,42.76,2024-12-26 00:00:00,2024-12-26 00:00:00
ITM-1093,ORD-1044,PROD-102,9,61.09,42.76,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1094,ORD-1044,PROD-101,8,31.91,22.34,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1095,ORD-1045,PROD-105,7,15.47,10.83,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1096,ORD-1045,PROD-101,3,31.91,22.34,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1097,ORD-1045,PROD-106,4,49.09,34.36,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1098,ORD-1046,PROD-102,3,61.09,42.76,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1099,ORD-1046,PROD-103,8,65.28,45.7,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1100,ORD-1046,PROD-107,7,34.78,24.35,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1101,ORD-1047,PROD-101,4,31.91,22.34,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1102,ORD-1048,PROD-107,6,34.78,24.35,2024-12-24 00:00:00,2024-12-24 00:00:00
ITM-1103,ORD-1048,PROD-110,6,56.62,39.63,2024-12-24 00:00:00,2024-12-24 00:00:00
ITM-1104,ORD-1048,PROD-104,5,29.52,20.66,2024-12-24 00:00:00,2024-12-24 00:00:00
ITM-1105,ORD-1049,PROD-109,8,30.55,21.38,2024-12-18 00:00:00,2024-12-18 00:00:00
ITM-1106,ORD-1050,PROD-101,3,31.91,22.34,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1107,ORD-1050,PROD-109,3,30.55,21.38,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1108,ORD-1050,PROD-104,1,29.52,20.66,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1109,ORD-1051,PROD-110,6,56.62,39.63,2024-12-15 00:00:00,2024-12-15 00:00:00
ITM-1110,ORD-1052,PROD-110,1,56.62,39.63,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1111,ORD-1052,PROD-108,10,62.83,43.98,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1112,ORD-1053,PROD-103,1,65.28,45.7,2024-12-10 00:00:00,2024-12-10 00:00:00
ITM-1113,ORD-1053,PROD-101,6,31.91,22.34,2024-12-10 00:00:00,2024-12-10 00:00:00
ITM-1114,ORD-1053,PROD-104,10,29.52,20.66,2024-12-10 00:00:00,2024-12-10 00:00:00
ITM-1115,ORD-1054,PROD-110,9,56.62,39.63,2024-12-07 00:00:00,2024-12-07 00:00:00
ITM-1116,ORD-1054,PROD-104,6,29.52,20.66,2024-12-07 00:00:00,2024-12-07 00:00:00
ITM-1117,ORD-1054,PROD-102,8,61.09,42.76,2024-12-07 00:00:00,2024-12-07 00:00:00
ITM-1118,ORD-1055,PROD-108,4,62.83,43.98,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1119,ORD-1055,PROD-108,2,62.83,43.98,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1120,ORD-1056,PROD-106,1,49.09,34.36,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1121,ORD-1056,PROD-104,4,29.52,20.66,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1122,ORD-1057,PROD-105,9,15.47,10.83,2024-12-18 00:00:00,2024-12-18 00:00:00
ITM-1123,ORD-1058,PROD-104,2,29.52,20.66,2024-12-26 00:00:00,2024-12-26 00:00:00
ITM-1124,ORD-1059,PROD-103,4,65.28,45.7,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1125,ORD-1059,PROD-109,9,30.55,21.38,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1126,ORD-1060,PROD-109,6,30.55,21.38,2024-12-18 00:00:00,2024-12-18 00:00:00
ITM-1127,ORD-1060,PROD-105,1,15.47,10.83,2024-12-18 00:00:00,2024-12-18 00:00:00
ITM-1128,ORD-1061,PROD-103,2,65.28,45.7,2024-12-26 00:00:00,2024-12-26 00:00:00
ITM-1129,ORD-1062,PROD-108,9,62.83,43.98,2024-12-23 00:00:00,2024-12-23 00:00:00
ITM-1130,ORD-1062,PROD-102,8,61.09,42.76,2024-12-23 00:00:00,2024-12-23 00:00:00
ITM-1131,ORD-1062,PROD-109,9,30.55,21.38,2024-12-23 00:00:00,2024-12-23 00:00:00
ITM-1132,ORD-1063,PROD-106,4,49.09,34.36,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1133,ORD-1063,PROD-105,9,15.47,10.83,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1134,ORD-1063,PROD-104,7,29.52,20.66,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1135,ORD-1064,PROD-108,1,62.83,43.98,2024-12-09 00:00:00,2024-12-09 00:00:00
ITM-1136,ORD-1065,PROD-110,8,56.62,39.63,2024-12-20 00:00:00,2024-12-20 00:00:00
ITM-1137,ORD-1065,PROD-110,5,56.62,39.63,2024-12-20 00:00:00,2024-12-20 00:00:00
ITM-1138,ORD-1066,PROD-104,6,29.52,20.66,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1139,ORD-1066,PROD-110,9,56.62,39.63,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1140,ORD-1066,PROD-101,1,31.91,22.34,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1141,ORD-1067,PROD-110,2,56.62,39.63,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1142,ORD-1068,PROD-102,2,61.09,42.76,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1143,ORD-1068,PROD-108,5,62.83,43.98,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1144,ORD-1068,PROD-106,5,49.09,34.36,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1145,ORD-1069,PROD-103,9,65.28,45.7,2024-12-17 00:00:00,2024-12-17 00:00:00
ITM-1146,ORD-1069,PROD-107,9,34.78,24.35,2024-12-17 00:00:00,2024-12-17 00:00:00
ITM-1147,ORD-1070,PROD-106,3,49.09,34.36,2024-12-20 00:00:00,2024-12-20 00:00:00
ITM-1148,ORD-1071,PROD-108,4,62.83,43.98,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1149,ORD-1071,PROD-104,5,29.52,20.66,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1150,ORD-1072,PROD-104,7,29.52,20.66,2024-12-07 00:00:00,2024-12-07 00:00:00
ITM-1151,ORD-1072,PROD-105,4,15.47,10.83,2024-12-07 00:00:00,2024-12-07 00:00:00
ITM-1152,ORD-1072,PROD-107,5,34.78,24.35,2024-12-07 00:00:00,2024-12-07 00:00:00
ITM-1153,ORD-1073,PROD-102,4,61.09,42.76,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1154,ORD-1073,PROD-102,2,61.09,42.76,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1155,ORD-1074,PROD-104,3,29.52,20.66,2024-12-17 00:00:00,2024-12-17 00:00:00
ITM-1156,ORD-1074,PROD-108,4,62.83,43.98,2024-12-17 00:00:00,2024-12-17 00:00:00
ITM-1157,ORD-1074,PROD-107,5,34.78,24.35,2024-12-17 00:00:00,2024-12-17 00:00:00
ITM-1158,ORD-1075,PROD-106,10,49.09,34.36,2024-12-15 00:00:00,2024-12-15 00:00:00
ITM-1159,ORD-1075,PROD-105,10,15.47,10.83,2024-12-15 00:00:00,2024-12-15 00:00:00
ITM-1160,ORD-1075,PROD-103,1,65.28,45.7,2024-12-15 00:00:00,2024-12-15 00:00:00
ITM-1161,ORD-1076,PROD-107,2,34.78,24.35,2024-12-26 00:00:00,2024-12-26 00:00:00
ITM-1162,ORD-1077,PROD-107,8,34.78,24.35,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1163,ORD-1077,PROD-106,9,49.09,34.36,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1164,ORD-1078,PROD-109,2,30.55,21.38,2024-12-04 00:00:00,2024-12-04 00:00:00
ITM-1165,ORD-1078,PROD-103,2,65.28,45.7,2024-12-04 00:00:00,2024-12-04 00:00:00
ITM-1166,ORD-1078,PROD-101,3,31.91,22.34,2024-12-04 00:00:00,2024-12-04 00:00:00
ITM-1167,ORD-1079,PROD-101,7,31.91,22.34,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1168,ORD-1079,PROD-104,7,29.52,20.66,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1169,ORD-1079,PROD-102,5,61.09,42.76,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1170,ORD-1080,PROD-107,5,34.78,24.35,2024-12-05 00:00:00,2024-12-05 00:00:00
ITM-1171,ORD-1080,PROD-104,8,29.52,20.66,2024-12-05 00:00:00,2024-12-05 00:00:00
ITM-1172,ORD-1080,PROD-103,8,65.28,45.7,2024-12-05 00:00:00,2024-12-05 00:00:00
ITM-1173,ORD-1081,PROD-109,2,30.55,21.38,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1174,ORD-1082,PROD-103,9,65.28,45.7,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1175,ORD-1083,PROD-101,10,31.91,22.34,2024-12-26 00:00:00,2024-12-26 00:00:00
ITM-1176,ORD-1084,PROD-109,10,30.55,21.38,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1177,ORD-1084,PROD-109,3,30.55,21.38,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1178,ORD-1085,PROD-107,2,34.78,24.35,2024-12-18 00:00:00,2024-12-18 00:00:00
ITM-1179,ORD-1086,PROD-104,2,29.52,20.66,2024-12-12 00:00:00,2024-12-12 00:00:00
ITM-1180,ORD-1086,PROD-104,3,29.52,20.66,2024-12-12 00:00:00,2024-12-12 00:00:00
ITM-1181,ORD-1086,PROD-102,5,61.09,42.76,2024-12-12 00:00:00,2024-12-12 00:00:00
ITM-1182,ORD-1087,PROD-107,9,34.78,24.35,2024-12-04 00:00:00,2024-12-04 00:00:00
ITM-1183,ORD-1088,PROD-108,8,62.83,43.98,2024-12-21 00:00:00,2024-12-21 00:00:00
ITM-1184,ORD-1089,PROD-109,8,30.55,21.38,2024-12-04 00:00:00,2024-12-04 00:00:00
ITM-1185,ORD-1089,PROD-110,7,56.62,39.63,2024-12-04 00:00:00,2024-12-04 00:00:00
ITM-1186,ORD-1089,PROD-108,3,62.83,43.98,2024-12-04 00:00:00,2024-12-04 00:00:00
ITM-1187,ORD-1090,PROD-101,8,31.91,22.34,2024-12-10 00:00:00,2024-12-10 00:00:00
ITM-1188,ORD-1090,PROD-110,3,56.62,39.63,2024-12-10 00:00:00,2024-12-10 00:00:00
ITM-1189,ORD-1091,PROD-108,2,62.83,43.98,2024-12-03 00:00:00,2024-12-03 00:00:00
ITM-1190,ORD-1091,PROD-107,1,34.78,24.35,2024-12-03 00:00:00,2024-12-03 00:00:00
ITM-1191,ORD-1092,PROD-107,8,34.78,24.35,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1192,ORD-1092,PROD-104,3,29.52,20.66,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1193,ORD-1093,PROD-108,6,62.83,43.98,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1194,ORD-1093,PROD-102,7,61.09,42.76,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1195,ORD-1094,PROD-108,2,62.83,43.98,2024-12-03 00:00:00,2024-12-03 00:00:00
ITM-1196,ORD-1095,PROD-101,1,31.91,22.34,2024-12-02 00:00:00,2024-12-02 00:00:00
ITM-1197,ORD-1095,PROD-107,3,34.78,24.35,2024-12-02 00:00:00,2024-12-02 00:00:00
ITM-1198,ORD-1095,PROD-102,7,61.09,42.76,2024-12-02 00:00:00,2024-12-02 00:00:00
ITM-1199,ORD-1096,PROD-103,4,65.28,45.7,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1200,ORD-1097,PROD-110,1,56.62,39.63,2024-12-17 00:00:00,2024-12-17 00:00:00
ITM-1201,ORD-1097,PROD-101,7,31.91,22.34,2024-12-17 00:00:00,2024-12-17 00:00:00
ITM-1202,ORD-1098,PROD-106,7,49.09,34.36,2024-12-20 00:00:00,2024-12-20 00:00:00
ITM-1203,ORD-1098,PROD-103,10,65.28,45.7,2024-12-20 00:00:00,2024-12-20 00:00:00
ITM-1204,ORD-1099,PROD-104,2,29.52,20.66,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1205,ORD-1100,PROD-102,9,61.09,42.76,2024-12-12 00:00:00,2024-12-12 00:00:00
ITM-1206,ORD-1101,PROD-107,4,34.78,24.35,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1207,ORD-1101,PROD-104,7,29.52,20.66,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1208,ORD-1102,PROD-104,4,29.52,20.66,2024-12-26 00:00:00,2024-12-26 00:00:00
ITM-1209,ORD-1102,PROD-104,7,29.52,20.66,2024-12-26 00:00:00,2024-12-26 00:00:00
ITM-1210,ORD-1103,PROD-107,7,34.78,24.35,2024-12-07 00:00:00,2024-12-07 00:00:00
ITM-1211,ORD-1103,PROD-105,9,15.47,10.83,2024-12-07 00:00:00,2024-12-07 00:00:00
ITM-1212,ORD-1104,PROD-101,8,31.91,22.34,2024-12-20 00:00:00,2024-12-20 00:00:00
ITM-1213,ORD-1104,PROD-106,9,49.09,34.36,2024-12-20 00:00:00,2024-12-20 00:00:00
ITM-1214,ORD-1105,PROD-103,6,65.28,45.7,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1215,ORD-1106,PROD-106,6,49.09,34.36,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1216,ORD-1107,PROD-103,8,65.28,45.7,2024-12-11 00:00:00,2024-12-11 00:00:00
ITM-1217,ORD-1107,PROD-105,2,15.47,10.83,2024-12-11 00:00:00,2024-12-11 00:00:00
ITM-1218,ORD-1108,PROD-108,7,62.83,43.98,2024-12-11 00:00:00,2024-12-11 00:00:00
ITM-1219,ORD-1109,PROD-108,5,62.83,43.98,2024-12-03 00:00:00,2024-12-03 00:00:00
ITM-1220,ORD-1109,PROD-101,2,31.91,22.34,2024-12-03 00:00:00,2024-12-03 00:00:00
ITM-1221,ORD-1110,PROD-110,9,56.62,39.63,2024-12-27 00:00:00,2024-12-27 00:00:00
ITM-1222,ORD-1110,PROD-104,2,29.52,20.66,2024-12-27 00:00:00,2024-12-27 00:00:00
ITM-1223,ORD-1111,PROD-106,4,49.09,34.36,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1224,ORD-1112,PROD-106,8,49.09,34.36,2024-12-12 00:00:00,2024-12-12 00:00:00
ITM-1225,ORD-1113,PROD-103,9,65.28,45.7,2024-12-23 00:00:00,2024-12-23 00:00:00
ITM-1226,ORD-1114,PROD-110,10,56.62,39.63,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1227,ORD-1114,PROD-109,9,30.55,21.38,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1228,ORD-1114,PROD-101,7,31.91,22.34,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1229,ORD-1115,PROD-106,5,49.09,34.36,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1230,ORD-1116,PROD-107,3,34.78,24.35,2024-12-03 00:00:00,2024-12-03 00:00:00
ITM-1231,ORD-1116,PROD-110,3,56.62,39.63,2024-12-03 00:00:00,2024-12-03 00:00:00
ITM-1232,ORD-1116,PROD-103,1,65.28,45.7,2024-12-03 00:00:00,2024-12-03 00:00:00
ITM-1233,ORD-1117,PROD-105,4,15.47,10.83,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1234,ORD-1117,PROD-109,9,30.55,21.38,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1235,ORD-1118,PROD-102,10,61.09,42.76,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1236,ORD-1118,PROD-107,3,34.78,24.35,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1237,ORD-1119,PROD-107,5,34.78,24.35,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1238,ORD-1120,PROD-102,7,61.09,42.76,2024-12-11 00:00:00,2024-12-11 00:00:00
ITM-1239,ORD-1120,PROD-101,3,31.91,22.34,2024-12-11 00:00:00,2024-12-11 00:00:00
ITM-1240,ORD-1121,PROD-104,5,29.52,20.66,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1241,ORD-1121,PROD-106,7,49.09,34.36,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1242,ORD-1122,PROD-105,2,15.47,10.83,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1243,ORD-1122,PROD-101,7,31.91,22.34,2024-12-14 00:00:00,2024-12-14 00:00:00
ITM-1244,ORD-1123,PROD-104,6,29.52,20.66,2024-12-02 00:00:00,2024-12-02 00:00:00
ITM-1245,ORD-1123,PROD-107,7,34.78,24.35,2024-12-02 00:00:00,2024-12-02 00:00:00
ITM-1246,ORD-1123,PROD-105,1,15.47,10.83,2024-12-02 00:00:00,2024-12-02 00:00:00
ITM-1247,ORD-1124,PROD-105,9,15.47,10.83,2024-12-27 00:00:00,2024-12-27 00:00:00
ITM-1248,ORD-1125,PROD-109,9,30.55,21.38,2024-12-03 00:00:00,2024-12-03 00:00:00
